player1,player2,enemy1,enemy2,result
Metal,Fire,Fire,Dirt,-1
Wood,Metal,Dirt,Wood,1
Metal,Wood,Wood,Dirt,1
Wood,Water,Wood,Dirt,-1
Fire,Metal,Dirt,Water,1
Fire,Metal,Metal,Dirt,1
Fire,Metal,Fire,Normal,1
Metal,Dirt,Wood,Fire,1
Wood,Dirt,Metal,Fire,-1
Dirt,Metal,Metal,Water,1
Fire,Metal,Dirt,Fire,-1
Wood,Metal,Wood,Dirt,1
Fire,Dirt,Dirt,Fire,1
Water,Metal,Dirt,Wood,1
Fire,Water,Wood,Fire,1
Metal,Fire,Water,Fire,1
Metal,Water,Dirt,Water,1
Fire,Metal,Fire,Dirt,1
Fire,Normal,Normal,Water,1
Water,Dirt,Fire,Water,1
Fire,Water,Metal,Dirt,1
Water,Wood,Normal,Dirt,1
Metal,Fire,Normal,Wood,1
Metal,Fire,Fire,Water,-1
Wood,Metal,Fire,Wood,1
Dirt,Normal,Metal,Wood,1
Dirt,Normal,Dirt,Fire,1
Water,Normal,Fire,Wood,1
Wood,Fire,Wood,Dirt,1
Water,Fire,Normal,Fire,1
Fire,Wood,Wood,Metal,-1
Metal,Fire,Fire,Normal,-1
Normal,Wood,Normal,Wood,1
Dirt,Wood,Wood,Fire,-1
Wood,Normal,Normal,Metal,1
Fire,Normal,Wood,Dirt,1
Dirt,Metal,Fire,Dirt,1
Water,Normal,Water,Normal,1
Water,Dirt,Normal,Metal,1
Fire,Wood,Normal,Metal,-1
Water,Dirt,Water,Fire,1
Normal,Wood,Water,Dirt,1
Dirt,Normal,Metal,Wood,1
Water,Dirt,Metal,Wood,-1
Normal,Dirt,Wood,Normal,1
Dirt,Fire,Water,Metal,1
Normal,Metal,Normal,Water,1
Normal,Fire,Dirt,Wood,1
Dirt,Metal,Fire,Metal,1
Water,Dirt,Metal,Wood,-1
Dirt,Metal,Dirt,Wood,1
Normal,Fire,Fire,Wood,1
Wood,Normal,Water,Metal,1
Dirt,Normal,Water,Normal,1
Wood,Normal,Dirt,Water,1
Normal,Fire,Water,Normal,1
Wood,Normal,Normal,Fire,1
Wood,Dirt,Fire,Normal,1
Water,Metal,Dirt,Normal,-1
Wood,Normal,Metal,Fire,-1
Water,Dirt,Fire,Metal,1
Dirt,Water,Water,Wood,1
Dirt,Wood,Dirt,Fire,1
Fire,Normal,Wood,Normal,1
Water,Fire,Dirt,Water,-1
Fire,Wood,Dirt,Fire,1
Normal,Wood,Dirt,Wood,1
Dirt,Normal,Water,Dirt,1
Water,Wood,Metal,Dirt,1
Dirt,Metal,Water,Dirt,1
Normal,Metal,Wood,Dirt,1
Metal,Wood,Dirt,Metal,-1
Water,Normal,Dirt,Normal,-1
Fire,Water,Water,Fire,1
Dirt,Water,Fire,Normal,1
Water,Wood,Water,Metal,-1
Water,Fire,Wood,Metal,1
Water,Normal,Normal,Dirt,1
Wood,Normal,Normal,Dirt,1
Dirt,Normal,Dirt,Wood,1
Fire,Normal,Dirt,Normal,1
Dirt,Fire,Water,Fire,1
Water,Fire,Fire,Dirt,1
Fire,Wood,Normal,Metal,-1
Metal,Water,Dirt,Fire,1
Metal,Wood,Dirt,Fire,1
Fire,Dirt,Fire,Dirt,1
Metal,Dirt,Metal,Normal,1
Metal,Normal,Water,Normal,1
Metal,Normal,Normal,Metal,1
Dirt,Fire,Metal,Normal,1
Normal,Wood,Metal,Normal,1
Metal,Water,Normal,Wood,1
Wood,Metal,Water,Dirt,1
Normal,Fire,Normal,Water,-1
Normal,Water,Fire,Normal,1
Fire,Normal,Dirt,Normal,1
Fire,Dirt,Dirt,Wood,-1
Fire,Wood,Metal,Fire,1
Fire,Water,Water,Dirt,-1
Normal,Metal,Wood,Normal,1
Water,Dirt,Dirt,Fire,-1
Wood,Normal,Normal,Wood,1
Wood,Water,Metal,Normal,-1
Fire,Metal,Water,Normal,-1
Metal,Normal,Wood,Normal,1
Fire,Dirt,Dirt,Water,1
Metal,Water,Metal,Wood,1
Water,Fire,Fire,Water,1
Dirt,Water,Water,Metal,1
