resistivity;temperature;humidity;density;dust_capacity;particle_size;conductivity;dust_dispersiveness;formation
0,0849;25,00;1,19;1511,223508;2,365997;13,118145;average;coarse visible;decomposition
183186,3182;-2,40;1,19;1365,174329;2,380920;45,730344;average;coarse microscopic;decomposition
386343,0702;2,61;3,63;1249,595234;2,347786;27,827526;good;coarse microscopic;decomposition
0,0849;15,78;6,10;1281,329142;2,376464;34,831494;low;coarse visible;decomposition
0,0849;24,60;3,53;1325,213039;2,349666;42,338698;average;coarse visible;decomposition
0,0849;-2,67;6,08;1540,322719;2,351377;13,931760;average;coarse visible;decomposition
0,0849;25,00;1,19;1246,138071;2,357361;27,227699;average;coarse visible;decomposition
0,0849;3,85;1,19;1267,024842;2,366374;0,415990;average;coarse visible;decomposition
29544,9654;12,99;1,45;1492,063481;2,364783;8,698454;average;coarse visible;decomposition
538921,0391;15,95;1,79;1392,173517;2,347766;33,036417;average;coarse microscopic;condensation
0,0849;7,43;1,19;1346,704783;2,353462;19,332806;average;coarse visible;condensation
32071,3099;6,27;7,24;1146,343790;2,386508;17,509975;average;coarse visible;decomposition
0,0849;11,77;6,71;1213,872541;2,345904;44,156965;average;coarse visible;decomposition
0,0849;9,68;1,19;1270,049197;2,369870;71,352828;average;coarse visible;decomposition
792015,1253;11,55;5,26;1372,661060;2,389292;5,867400;average;coarse visible;decomposition
236674,7338;25,00;2,65;1378,054957;2,350963;33,914611;average;coarse visible;condensation
121141,5642;-8,73;2,71;1284,539865;2,354469;44,981178;average;coarse visible;decomposition
0,0849;17,75;2,53;1251,382837;2,379981;53,656515;good;coarse visible;decomposition
0,0849;20,01;1,19;1538,762860;2,362271;34,130982;good;coarse microscopic;decomposition
449468,5239;25,00;5,25;1143,682348;2,401834;38,485234;average;coarse microscopic;decomposition
414122,6748;25,00;1,19;1260,761103;2,383256;63,067411;average;coarse visible;decomposition
254938,7133;-1,11;7,53;1060,930957;2,363014;0,415990;average;coarse visible;decomposition
27977,7473;25,00;6,94;1280,308180;2,381525;33,307764;average;coarse visible;decomposition
283532,3926;25,00;5,57;1419,027877;2,370077;31,972869;low;coarse visible;condensation
0,0849;25,00;13,72;769,665612;2,353978;51,707646;average;coarse visible;decomposition
0,0849;-9,16;7,02;1071,459189;2,345812;38,735711;average;coarse visible;decomposition
0,0849;25,00;5,07;1352,522778;2,370870;21,767308;average;coarse visible;decomposition
0,0849;-4,86;5,03;1049,407937;2,345985;29,151261;average;coarse visible;decomposition
1300284,6157;25,00;5,10;1267,346405;2,358932;18,084254;average;coarse visible;decomposition
189087,5127;25,00;1,19;1229,287965;2,384110;56,087012;average;coarse visible;decomposition
985370,1253;12,60;1,19;1046,177776;2,396933;25,865601;average;coarse visible;decomposition
315547,6915;25,00;1,19;1011,012537;2,386278;28,570965;average;coarse visible;decomposition
581114,5294;12,80;5,25;1448,706280;2,373571;39,330126;good;coarse microscopic;decomposition
398762,6512;25,00;1,19;755,985980;2,394402;55,688758;low;coarse microscopic;decomposition
363476,4992;10,63;4,77;786,897208;2,372163;21,357010;average;coarse visible;decomposition
200691,7602;15,38;8,84;1708,478102;2,358373;4,888764;average;coarse microscopic;decomposition
55384,5980;25,00;1,19;1301,036361;2,381022;46,011406;average;coarse visible;decomposition
0,0849;25,00;9,78;958,916455;2,375566;6,412044;average;coarse visible;decomposition
0,0849;-10,73;1,30;1211,617457;2,370658;19,693547;low;coarse visible;decomposition
17294,9660;25,00;5,77;999,269580;2,359620;36,847887;average;coarse visible;condensation
695402,4326;23,49;1,19;1051,033407;2,371370;27,928572;good;coarse visible;decomposition
62424,6747;-18,22;6,57;1111,390043;2,387248;40,009085;average;coarse visible;decomposition
204945,4142;14,22;1,45;1224,125120;2,382363;47,731051;average;coarse visible;decomposition
746030,9609;3,81;9,21;1157,664080;2,379677;5,632788;average;coarse microscopic;decomposition
